"","Countryname","Country","EMERGING_RISK_HEALTH_AV","EMERGING_RISK_MACRO_FISCAL_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","OVERALL_HEALTH_AV","OVERALL_FOOD_SECURITY_AV","OVERALL_MACRO_FISCAL_AV","OVERALL_SOCIOECONOMIC_VULNERABILITY_AV","OVERALL_NATURAL_HAZARDS_AV","OVERALL_FRAGILITY_INSTITUTIONS_AV","OVERALL_FLAGS_AV","OVERALL_FLAGS_AV_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_HEALTH_SQ_ALT","OVERALL_HEALTH_FILTER_10","OVERALL_FOOD_SECURITY_FILTER_10","OVERALL_MACRO_FISCAL_FILTER_10","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10","OVERALL_NATURAL_HAZARDS_FILTER_10","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10","OVERALL_FLAGS_FILTER_10","OVERALL_FLAGS_FILTER_10_MED","OVERALL_HEALTH_FILTER_7","OVERALL_FOOD_SECURITY_FILTER_7","OVERALL_MACRO_FISCAL_FILTER_7","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7","OVERALL_NATURAL_HAZARDS_FILTER_7","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7","OVERALL_FLAGS_FILTER_7","OVERALL_FLAGS_FILTER_7_MED","OVERALL_HEALTH_FILTER_7_5","OVERALL_FOOD_SECURITY_FILTER_7_5","OVERALL_MACRO_FISCAL_FILTER_7_5","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5","OVERALL_NATURAL_HAZARDS_FILTER_7_5","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5_MED","OVERALL_HEALTH_GEO","OVERALL_FOOD_SECURITY_GEO","OVERALL_MACRO_FISCAL_GEO","OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO","OVERALL_NATURAL_HAZARDS_GEO","OVERALL_FRAGILITY_INSTITUTIONS_GEO","OVERALL_FLAGS_GEO","OVERALL_FLAGS_GEO_MED","UNDERLYING_RISK_HEALTH","UNDERLYING_RISK_FOOD_SECURITY","UNDERLYING_RISK_MACRO_FISCAL","UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY","UNDERLYING_RISK_NATURAL_HAZARDS","UNDERLYING_RISK_FRAGILITY_INSTITUTIONS","UNDERLYING_FLAGS","UNDERLYING_FLAGS_MED","EMERGING_RISK_HEALTH","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","EMERGING_RISK_MACRO_FISCAL","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_FLAGS","EMERGING_FLAGS_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","H_coefvar","M_coefvar","Fr_coefvar","NH_coefvar","F_coefvar","S_coefvar","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"1","Libya","LBY",1.52945464056015,3.70158450704228,NA,7.86175562704891,NA,6.85048459907861,5.57142857142857,2.25,10,2,3,7.8000415688963,8.28463110470094,0,0,0,0,0,10,1,1,0,0,0,0,0,10,1,1,5,0,0,0,0,10,1,1.5,7.79812219135522,NA,6.08387766581371,5.3851648071345,0,10,2,3,8.86,3.42105263157895,9.99938469111494,4.14285714285714,4.5,10,1,2,6.86351125409783,NA,7,3.70158450704228,0,10,1,1.5,6.08406484765102,1.83322431972468,NA,0.925609846706926,NA,NA,NA,0,0.4
"2","Sudan","SDN",0.705851157406658,3.26144366197185,NA,7.82520462044896,10,6.63072183098592,9.21428571428572,5.16666666666667,9.81210991554866,4,5,7.48503531680216,7.8424544888051,0,10,0,0,0,0,1,1,0,10,0,10,0,10,3,3,5,10,0,10,0,10,3,3.5,7.64387910609072,10,5.71090506134698,9.18072515031979,5.16397779494322,9.81031081622663,4,5,9.5,10,10,8.42857142857143,5.33333333333333,10,3,4,6.15040924089792,10,10,3.26144366197185,5,9.62421983109733,2,2.5,5.60257536937757,2.38459963243046,NA,1.73205080756888,NA,0.157134840263677,0.602409638554217,0,0.2
"3","Afghanistan","AFG",2.2871893491496,6.6505281690141,NA,8.53384615384616,10,6.76514840643666,8.5,8.25,10,5,5.5,9.03054652273082,7.780423744909,0,10,0,0,0,10,2,2,10,10,0,10,10,10,5,5,10,10,0,10,10,10,5,5,8.40695682616029,10,6.76417734556728,8.36660026534076,8.15475321515004,10,5,5.5,10,10,6.87976864385922,10,9.5,10,4,4.5,7.06769230769231,10,7,6.6505281690141,7,10,2,3.5,8.15507704992056,0.852128894451187,NA,0.8732398645169,1.4142135623731,0,NA,0,0.2
"4","Mozambique","MOZ",1.91444053860112,4.8899647887324,NA,10,10,5.90640252727292,8.5,4,10,4,4.5,8.36231326737079,6.81464230869842,10,10,0,0,0,10,3,3,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,10,10,5.81828541220234,8.36660026534076,0,10,4,4.5,10,10,6.92284026581344,10,8,10,4,4.5,10,10,7,4.8899647887324,0,10,3,3.5,6.99282831816455,1.13748677759037,NA,0.89316995590627,NA,0.346410161513775,NA,0,0.1
"5","Niger","NER",0.0920749353915752,4.18573943661971,NA,8.73384615384616,10,4.45288694695864,8.5,2.91666666666667,10,4,4,8.0434626124664,2.56807522463606,0,10,0,0,0,10,2,2,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,8.64158105192118,10,4.44486606886128,8.36660026534076,0,10,4,4,10,10,4.72003445729757,10,5.83333333333333,10,4,4,7.46769230769231,10,7,4.18573943661971,0,10,2,3,6.46972907981448,2.43313282437586,NA,0.866025403784439,NA,0.249567099242311,NA,0,0.2
"6","Algeria","DZA",0.95559196697971,8.63116197183098,NA,7.34905125154983,1.98325358851675,7.9554406954897,6.31904761904762,3.08333333333333,0,2,2.5,1.71402564962216,7.36077611607612,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,5,0,10,0,0,0,1,1.5,7.09083854200368,1.72235512512185,7.92669145458263,5.69042637953892,0,0,2,2.5,9.28,2.96650717703349,7.27971941914842,3.57142857142857,6.16666666666667,0,0,1,5.41810250309967,1,9.06666666666667,8.63116197183098,0,0,0,1,2.93788392756266,1.65153688689414,NA,NA,NA,NA,NA,0,0.3
"7","Ethiopia","ETH",0.74282450995275,6.43045774647888,NA,7.81768052708409,10,8.05801745310653,8.52061367034912,6.33333333333333,5,4,5,2.8317862731821,7.67161068757284,0,10,0,0,0,0,1,1,0,10,0,10,0,0,2,2,5,10,0,10,5,0,2,3,7.57510859843869,10,7.8919385879473,8.51396531739331,6.29814787589706,0,4,4.5,9.75,10,9.68557715973419,8.85714285714286,5.66666666666667,0,1,2.5,5.88536105416818,10,8.18408448355538,6.43045774647888,7,10,2,3,8.01901349698258,2.39343243920945,NA,0.892027384479194,NA,0.346410161513775,NA,0,0.1
"8","Iraq","IRQ",1.7417221485138,8.85123239436621,NA,7.3053064051912,3.45454545454546,8.89614290158872,2.85714285714285,3.83333333333333,10,3,3,9.69953547780891,7.59645496951204,0,0,0,0,0,10,1,1,0,0,10,0,0,10,2,2,5,0,10,0,0,10,2,2.5,7.14228375547909,2.43086217402199,8.89602953973448,0,0,10,3,3,8.84,5.90909090909091,8.94105340881123,5.71428571428571,7.66666666666667,10,1,2.5,5.77061281038241,1,0,8.85123239436621,0,10,1,1.5,9.40809884852738,1.04706434326425,NA,1.21539247220165,NA,NA,NA,0,0.3
"9","South Sudan","SSD",0.162068566655258,NA,NA,8.72615384615385,10,NA,10,5,10,4,4.5,10,8.18707265456631,0,10,0,10,0,10,3,3,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,8.6326749575712,10,NA,10,5,10,4,4.5,10,10,NA,10,5,10,4,4,7.45230769230769,10,10,NA,5,10,3,3.5,10,2.43954840401448,NA,0.866039759610874,NA,0.157134840263677,NA,0,0.2
"10","Central African Republic","CAF",0.166308467359719,9.68750000000001,NA,10,10,7.8344588358356,9.34046863374256,1.75,9.2382791886899,5,5,9.51936147016158,5.41172292274152,10,10,0,0,0,0,2,2,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,10,10,7.61216025148674,9.31715475211458,0,9.20682267526632,5,5,10,10,5.98141767167118,10,3.5,10,4,4,10,10,8.68093726748512,9.68750000000001,0,8.4765583773798,2,3.5,9.06182427995969,2.40401973516476,NA,0.0951435800800414,NA,NA,NA,0,0.3
