Countryname,Country,Underlying_Health_Global Health Security Index,Underlying_Health_INFORM Rating,"Emerging_Health_Covid Growth, Cases (biweekly)","Emerging_Health_Covid Growth, Deaths (biweekly)",Emerging_Health_Oxford Gov Response Index,Emerging_Health_ACAPS Health Crisis Tracker,Emerging_Health_New Covid Cases per 1M,Emerging_Health_New Covid Deaths per 1M,Emerging_Health_Oxford Lockdown Rollback Index,Emerging_Health_WHO Disease Outbreak News,Underlying_Food Security_Proteus Composite Index,Emerging_Food Security_FAO WFP Warning,Emerging_Food Security_FEWS NET Score,Emerging_Food Security_Food Price Inflation (Secondary Indicator),Underlying_Conflict and Fragility_FCS,Emerging_Conflict and Fragility_Political Fatalities,Emerging_Conflict and Fragility_Forcibly Displaced People,Emerging_Conflict and Fragility_Political Disturbance,Underlying_Macro Fiscal_Operational Risk Score,Emerging_Macro Fiscal_Operational Risk Score,Underlying_Natural Hazard_INFORM Natural Multi-hazard Rating,Emerging_Natural Hazard_GDACS Live Hazard Tracker,Emerging_Natural Hazard_Locust Threat Level,Emerging_Natural Hazard_INFORM Severity,Emerging_Natural Hazard_Seasonal Forecast Index,Underlying_Socioeconomic Vulnerability_INFORM Socio-economic Vulnerability Index,"Emerging_Socioeconomic Vulnerability_Unemployment Rate, % Change",Emerging_Socioeconomic Vulnerability_MFRI Household Level Risk,Emerging_Socioeconomic Vulnerability_Income Support,Emerging_Socioeconomic Vulnerability_COVID Phone Survey Index,"Emerging_Socioeconomic Vulnerability_People Below $1.90 Poverty Line, % Change"
Algeria,DZA,9.28,4.75,1.0610517158849255,0.45036657744675956,2.636923076923077,0,0.41936000000000107,0.43599999999999994,5.418102503099674,0,2.966507177033492,NA,NA,1,0,0,0,0,7.279719419148416,8.631161971830984,6.166666666666667,NA,0,0,0,3.571428571428571,9.066666666666668,NA,7,NA,NA
Ecuador,ECU,3.9800000000000004,4.75,0.3276523004182579,0,1.9630769230769243,0,2.0929200000000003,2.6400000000000006,7.106825956322959,0,5.14354066985646,NA,NA,3,0,0,0,0,5.636844696037413,10,9.833333333333334,0,0,0,7,4.857142857142857,10,0,0,5.426308768136161,10
Egypt,EGY,6.0200000000000005,4,0,0,4.92,0,0.07760000000000034,0.44200000000000017,6.418970539125132,0,1.794258373205741,NA,NA,NA,0,0,0,0,6.295225203051935,7.4427816901408494,6.500000000000001,NA,0,0,0,5,10,7,0,NA,6.527779263041498
Eritrea,ERI,9.52,9.75,0,0,4.455384615384616,0,0.40604000000000084,0.1620000000000008,0,0,10,NA,NA,NA,10,NA,0,0,9.0887275412257,4.889964788732396,4.500000000000001,NA,5,0,0,8.571428571428571,NA,NA,7,NA,NA
Spain,ESP,0.8199999999999985,2,6.747661032623614,0,3.758461538461538,0,9.88488,0.7520000000000007,0.03274848381817108,0,0,NA,NA,3,0,0,0,0,2.904873246369678,0,5.166666666666666,NA,0,0,0,0.7142857142857135,8.999999999999998,NA,3,NA,NA
Estonia,EST,2.5999999999999996,2.5,0,0,6.138461538461538,0,0.98644,0.2159999999999993,10,0,2.248803827751196,NA,NA,3,0,0,0,0,1.1450898350972203,7.486795774647893,0,NA,0,0,0,0.7142857142857135,10,NA,7,NA,NA
Ethiopia,ETH,5.88,9.75,0,0,5.481538461538462,0,0.027879999999999683,0.038000000000000256,5.885361054168175,0,10,10,10,5,0,10,7.504902060320009,0,9.685577159734189,6.430457746478879,5.666666666666667,NA,7,0,0,8.857142857142858,NA,NA,7,8.184084483555385,3.9224095560214955
Finland,FIN,0.2599999999999998,0.25,7.979117483957855,0,3.9738461538461536,0,1.4479999999999986,0.20599999999999952,4.714772332476336,0,0.8851674641148328,NA,NA,1,0,0,NA,0,0.33288210681762287,10,0,NA,0,0,0,0.2857142857142865,5.2833333333333306,NA,3,NA,NA
Fiji,FJI,8.86,5.249999999999999,10,10,1.8353846153846156,0,10,5.736,0,0,4.904306220095693,NA,NA,1,0,NA,0,0,NA,NA,4.833333333333333,0,0,0,0,4.571428571428572,10,NA,0,NA,NA
France,FRA,0.35999999999999943,2.5,0,0,3.9738461538461536,0,1.4136000000000006,0.8040000000000003,9.590943594003205,0,0,NA,NA,3,0,0,0,0,0,2.9093309859154894,4,NA,0,0,0,0.5714285714285712,10,NA,0,NA,NA
Micronesia,FSM,7.44,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,5.333333333333334,NA,0,0,7,8,NA,NA,NA,NA,NA
Gabon,GAB,10,7.5,0,0,3.2692307692307683,0,0.31323999999999863,0.2560000000000002,5.978816524918553,0,6.60287081339713,NA,NA,1,0,0,0,0,6.215235047994095,3.1734154929577505,2.5,NA,0,0,0,6.142857142857142,NA,NA,7,10,7.2657682649925
