Emerging_Health,Emerging_Food Security,Emerging_Socioeconomic Vulnerability,Emerging_Macro Fiscal,Emerging_Natural Hazard,Emerging_Conflict and Fragility,Emerging_Number of Emerging Threat Flags,Underlying_Health,Underlying_Food Security,Underlying_Maco Fiscal,Underlying_Socioeconomic Vulnerability,Underlying_Natural Hazard,Underlying_Conflict and Fragility,Overall_Health,Overall_Food Security,Overall_Macro Fiscal,Overall_Socioeconomic Vulnerability,Overall_Natural Hazard,Overall_Conflict and Fragility,Overall_Number of Overall Alert Flags,Underlying_Indicator Reliability,Emerging_Indicator Reliability
5.4397304915322104,NA,0,10,0,0,1,6.96,4.33014354066986,10,3.14285714285714,7.66666666666667,0,6.153090623504921,NA,10,0,0,0,1.5,0,0.4
10,3,3.66333333333333,0,0,0,1,3.6,0,2.5356879153335,0.428571428571429,1.16666666666667,0,6,0,0,1.2529964086141667,0,0,0.5,0,0.3
4.95658343343174,3,10,7.97095070422536,0,0,1.5,6.34,4.5933014354067,5.47686438592173,4.85714285714286,9.5,0,5.605777284905032,3.7121293493384764,6.607254803162173,6.969320524371699,0,0,1.5,0,0.3
10,3,10,7.48679577464789,0,0,2.5,2.6,2.2488038277512,1.14508983509722,0.714285714285714,0,0,5.0990195135927845,2.5973855091714055,2.9279777558919595,2.6726124191242433,0,0,0.5,0,0.3
3.97384615384615,5,10,4.40580985915493,10,0,2,4.74,0.55023923444976,2.86180162441546,0.285714285714286,2,0,4.340049627507819,1.6586730154701377,3.550852547177259,1.690308509457034,4.47213595499958,0,0,0,0.2
6.30832,NA,9.2,2.02904929577465,7,0,1,6.5,7.17703349282297,3.80322421855772,6.57142857142857,10,0,6.403442823981487,NA,2.7779361803932137,7.775419143502352,8.366600265340756,0,2.5,0,0.4
4.16803573913646,1,5.25,7.44278169014085,0,0,0.5,2.5,0,6.15308885059562e-4,0.571428571428571,2,0,3.2280163177780175,0,0.06767281362188429,1.7320508075688765,0,0,0,0,0.3
10,1,7.29666666666667,1.80897887323944,0,5,1.5,4.54,0,1.93883829682501,1,6,0,6.7379522111692065,0,1.872783361092249,2.701234285778757,0,0,0.5,0,0.3
9.4630585281457,1,8.00000000000001,0,0,0,1,3,0,1.20662072360325,0.857142857142856,6.83333333333333,0,5.32814935830792,0,0,2.6186146828319083,0,0,0.5,0,0.2
4.9519955488841,1,3.15666666666667,1.36883802816901,0,0,0,2.04,2.17703349282297,0.105217819345313,0.571428571428571,10,0,3.1783755158450937,1.475477377943481,0.3795077764168758,1.3430597618161018,0,0,0,0,0.2
10,NA,10,3.78961267605633,0,0,2,5.75,2.53588516746411,3.48941668717697,5.14285714285714,5.16666666666667,0,7.582875444051551,NA,3.6364182528648064,7.171371656006359,0,0,2,0,0.4
10,1,8.96333333333333,0,0,0,1.5,3.5,0.933014354066986,3.5632537533842,1.57142857142857,1.83333333333333,0,5.916079783099616,0.9659266815172806,0,3.753030521490343,0,0,0.5,0,0.3
5.27230769230769,10,9.24200640251068,8.19102112676056,0,0,2,10,9.73684210526316,9.5071375830667,10,5,10,7.261065825557354,9.867543820659304,8.824577315538614,9.613535459190173,0,0,4,0,0.3
10,3,6.48666666666667,2.51320422535211,0,0,1,3,2.27272727272727,1.0958651242924,1.28571428571429,1.16666666666667,0,5.477225575051661,2.611164839335466,1.6595580317625758,2.8879058156387356,0,0,0.5,0,0.3
8.69961338249464,3,7.03333333333333,6.12235915492958,0,0,1,1.25,0,0.455943883829683,0.285714285714286,1.66666666666667,0,3.2976532152605587,0,1.670763960378248,1.4175767384955957,0,0,0,0,0.3
6.47384615384615,NA,9.51,2.46919014084508,0,0,0.5,3.2,1.84210526315789,0.2898104848634,0.571428571428571,5.83333333333333,0,4.551517075910809,NA,0.8459297795551588,2.3311554461866564,0,0,0,0,0.4
10,5,9.99333333333334,0,0,0,1.5,6.18,3.61244019138756,2.70182131429978,3.28571428571428,4.66666666666667,0,7.861297602813418,4.249964818317653,0,5.730204018640004,0,0,1.5,0,0.3
4.29879873290103,NA,10,0.444542253521123,0,3.78315416348216,1,6.75,7.20095693779904,5.31073098695545,5.42857142857143,10,0,5.386732910316043,NA,1.5365039280085273,7.367883976130074,0,0,1.5,0,0.4
3.47557181428948,3,5.54,10,0,0,1,2,0,2.86795471326606,1.14285714285714,4,0,2.636502157893856,0,5.355328853829669,2.516233012149025,0,0,0.5,0,0.3
7.3675906666603,1,10,0.0924295774647899,0,0,1.5,5.76,0,2.72028058085159,1.71428571428572,0.833333333333334,0,6.514393466775194,0,0.5014323330956887,4.140393356054132,0,0,0.5,0,0.3
1.93368,1,NA,NA,0,0,0,8.76,4.01913875598086,NA,2.57142857142857,3,0,4.115706111956975,2.0047789793343456,NA,NA,0,0,0,0,0.5
2.67824,1,NA,NA,0,0,0,7.4,4.47368421052632,NA,4.71428571428571,2.66666666666667,0,4.451850851050605,2.115108557622119,NA,NA,0,0,0,0,0.4
2.00819699454645,3,3,5.11003521126761,0,0,0,2.26,0,0,0.285714285714286,0,0,2.130381469989583,0,0,0.9258200997725519,0,0,0,0,0.3
10,3,10,0,0,0,2,1.75,0.21531100478469,1.85884814176717,0.285714285714286,4,0,4.183300132670378,0.8036995796652316,0,1.690308509457034,0,0,0,0,0.3
8.97203258405311,3,6.34,6.91461267605635,0,0,0.5,0.5,1.55502392344497,0,0.428571428571429,0.166666666666666,0,2.118021787429618,2.1598777211534244,0,1.6483758239985382,0,0,0,0,0.3
4.13235807275604,1,3.39,0.0484154929577443,0,0,0,0.600000000000001,0,0,0.428571428571429,2.16666666666667,0,1.5746157765161721,0,0,1.205345238036449,0,0,0,0,0.3
4.3080868999708,1,0,2.90933098591549,0,0.612912936968446,0,4.5,3.56459330143541,2.25879891705636,3,8.66666666666667,0,4.402997961601686,1.888013056479062,2.563511981704868,0,0,0,0,0,0.3
7.22769230769231,NA,7,NA,0,0,1,8.98,4.52153110047847,NA,7.42857142857143,7,0,8.05634389304956,NA,NA,7.211102550927979,0,0,2,0,0.6
10,5,10,0,7,10,3.5,1.25,0.191387559808613,2.68951513659858,1.28571428571429,9.33333333333333,0,3.5355339059327378,0.9782319760890383,0,3.585685828003187,8.08290376865476,0,1,0,0.2
10,NA,7.42842411611486,1.89700704225353,0,0,1.5,5.74,3.13397129186603,6.05525473787842,2.57142857142857,1.16666666666667,0,7.576278769950325,NA,3.3892271804047622,4.3705448187687965,0,0,1,0,0.4
6.61846153846154,3,3,0.708626760563384,7,10,1.5,9.5,8.61244019138756,5.74760029534827,9.14285714285714,3.16666666666667,0,7.929400016103655,5.083042452524145,2.0181435474975,5.237229365663817,4.708148963941847,0,2,0,0.3
4.04846561255541,3,10,7.31073943661972,7,0,2,0,0.837320574162678,0.492862416933303,0.571428571428571,5.66666666666667,0,0,1.5849169449810403,1.898206708528344,2.3904572186687862,6.298147875897063,0,0.5,0,0.3
10,1,10,4.44982394366197,0,0,2,4.98,3.39712918660287,2.65259660349496,3.14285714285714,8.33333333333333,0,7.05691150575094,1.8431302684842628,3.435635003766886,5.606119105813879,0,0,1.5,0,0.3
6.33438068277326,3,7,9.29137323943663,0,6.71496126637569,1,9,7.29665071770335,2.78796455820822,8.28571428571428,4.66666666666667,0,7.550458671164245,4.678669912818177,5.089599128480909,7.615773105863905,0,0,2.5,0,0.3
10,1,3.86,7.53080985915494,0,0,1.5,0.25,0,0,0.285714285714286,0.5,0,1.5811388300841898,0,0,1.0501700542565209,0,0,0,0,0.3
3.50724842484851,3,7.6747122178435,3.6575704225352,0,0,0.5,8.25,7.91866028708134,6.14755107063746,7.85714285714286,2.5,0,5.379107686689327,4.874010757194122,4.741845734203948,7.765391830619759,0,0,1.5,0,0.3
4.71477233247634,1,5.28333333333333,10,0,0,1,0.26,0.885167464114833,0.332882106817623,0.285714285714286,0,0,1.1071769535371698,0.9408333880740165,1.824505705164067,1.2286267983093198,0,0,0,0,0.3
5.16,NA,10,10,0,0,2,6.9,7.17703349282297,6.93514644351465,7.57142857142857,4.5,0,5.966908747416874,NA,8.327752664143341,8.70139561876632,0,0,2.5,0,0.4
0.0290400000000002,NA,8.83118117333934,NA,0,0,0.5,10,8.66028708133971,NA,9.85714285714286,2.83333333333333,10,0.5388877434123011,NA,NA,9.330070440404851,0,0,1,0,0.6
4.67721145953896,NA,10,5.77024647887324,7,3.30363482474425,1.5,6,5.23923444976077,4.02473541717943,4.57142857142857,10,0,5.297477584401255,NA,4.819099020499166,6.761234037828132,8.366600265340756,0,2,0,0.3
5.01473699030071,NA,0,0,0,6.30106164273924,0,8.2,4.21052631578947,4.01242923947822,5.57142857142857,7.33333333333333,0,6.41255357252209,NA,0,0,0,0,0.5,0,0.4
3.72775346831195,3,0.973333333333334,1.32482394366197,0,0,0,10,0.47846889952153,0.788210681762248,0.571428571428571,8.16666666666667,0,6.105533120303214,1.1980845957463062,1.0218808070654577,0.7457817885886435,0,0,0.5,0,0.3
3.20461538461538,NA,5.44027583900367,3.34947183098591,7,10,1.5,4.5,3.73205741626794,6.46135860201822,4.57142857142857,6.83333333333333,0,3.797468792599777,NA,4.652111201095534,4.9869662528308645,6.916164640415475,0,0.5,0,0.4
10,5,7.17256028311593,9.07130281690143,0,0,2,6.5,8.66028708133971,5.11998523258676,7.14285714285714,6.5,10,8.06225774829855,6.5803826185639505,6.815052198102227,7.157693305166689,0,0,3,0,0.3
3.52613722017591,NA,NA,3.12940140845071,0,0,0,5.3,NA,0,0,0.5,0,4.323022931576043,NA,0,NA,0,0,0,0.2,0.5
0,NA,NA,NA,0,0,0,10,NA,NA,7.57142857142857,4.33333333333333,10,0,NA,NA,NA,0,0,0,0.2,0.6
6.90295029179507,3,10,6.69454225352113,0,0,1,7.75,9.28229665071771,2.5418410041841,7.85714285714286,5.5,0,7.314223455802522,5.277015250324101,4.125101453812141,8.864052604279184,0,0,2.5,0,0.3
10,3,0,9.07130281690142,7,0,2,7.75,9.04306220095694,4.98461727787349,8,8,0,8.803408430829505,5.208568575229746,6.724356679560453,0,7.483314773547883,0,3,0,0.3
3.83792914624565,3,3,5.33010563380282,0,0,0,1.08,0,0.905119369923703,0.285714285714286,0,0,2.0359183377398278,0,2.1964475529578182,0.9258200997725519,0,0,0,0,0.3
10,1,7.25,2.20510563380282,0,10,2.5,6.86,5.28708133971292,4.32008368200837,5.14285714285714,2.66666666666667,0,8.282511696339464,2.299365421091854,3.086460896511778,6.106202935189287,0,0,1.5,0,0.3
5.53692307692308,3,7.49629596892652,5.72623239436619,0,0,0.5,5.14,2.58373205741627,5.04614816637953,2.28571428571429,7.83333333333333,0,5.334771280512842,2.784097012003858,5.375445757990124,4.139370820078553,0,0,1,0,0.3
10,3,6.75,3.56954225352113,0,0,1,4.42,0.861244019138756,1.76039872015752,1.14285714285714,3,0,6.648308055437865,1.6073991593304595,2.5067543985494045,2.7774602993176507,0,0,0.5,0,0.3
5.35716,NA,10,5.99031690140846,0,0,1,7.22,5.66985645933014,4.73849372384937,4.28571428571429,7,0,6.219219822453617,NA,5.327764919850799,6.546536707079775,0,0,1.5,0,0.4
10,1,10,0,0,0,2,1.5,0,1.94499138567561,0.714285714285714,2.33333333333333,0,3.872983346207417,0,0,2.6726124191242433,0,0,0,0,0.3
1.91538461538462,5,6.41781809216454,4.53785211267607,0,0,0,4.5,5.52631578947368,2.70797440315038,4.71428571428571,10,0,2.935852647738096,5.256574830378466,3.5054796200247225,5.50049344593516,0,0,1,0,0.3
